k,Temp_Dir,Final_Dir,Phase_1_Time,Phase_2_Time,Phase_3_Time,Phase_4_Time,Total_Time,Final_File_Size
25,/data-fast/varvara/tmp,/data-fast/varvara/plot,108.340,35.242,95.295,6.786,245.666,0.627
26,/data-fast/varvara/tmp,/data-fast/varvara/plot,194.901,103.097,203.390,14.635,516.025,1.301
27,/data-fast/varvara/tmp,/data-fast/varvara/plot,380.244,237.951,413.620,29.941,1061.757,2.695
28,/data-fast/varvara/tmp,/data-fast/varvara/plot,794.287,523.532,858.800,60.490,2237.111,5.589
29,/data-fast/varvara/tmp,/data-fast/varvara/plot,1606.341,1021.544,1705.118,126.207,4459.212,11.524
30,/data-fast/varvara/tmp,/data-fast/varvara/plot,3488.087,2062.338,3786.924,253.143,9590.495,23.814
31,/data-fast/varvara/tmp,/data-fast/varvara/plot,7789.674,4249.430,7883.172,519.134,20441.412,49.143
32,/data-fast/varvara/tmp,/data-fast/varvara/plot,17156.774,9303.818,18034.864,1146.186,45641.645,101.340
33,/data-fast/varvara/tmp,/data-fast/varvara/plot,37393.375,20761.862,41367.459,2622.985,102145.682,208.761
34,/data-fast/varvara/tmp,/data-fast/varvara/plot,78183.732,48556.644,88340.772,6259.873,221341.023,429.827
